Generating SQLite file nsys_heat3d_float32_N512_solver2.sqlite from nsys_heat3d_float32_N512_solver2.nsys-rep
Processing [nsys_heat3d_float32_N512_solver2.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/nvtx_sum.py]... 
SKIPPED: nsys_heat3d_float32_N512_solver2.sqlite does not contain NV Tools Extension (NVTX) data.

Processing [nsys_heat3d_float32_N512_solver2.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)   Total Time (ns)   Num Calls     Avg (ns)         Med (ns)      Min (ns)      Max (ns)       StdDev (ns)             Name         
 --------  -----------------  ---------  ---------------  ---------------  ---------  --------------  ---------------  ----------------------
     96.4  3,569,896,667,264      1,393  2,562,739,890.4         69,312.0      1,024  16,185,717,056  5,760,960,621.2  pthread_cond_wait     
      2.0     75,845,539,648        653    116,149,371.6         12,448.0      1,024  16,098,615,840  1,025,801,277.4  futex                 
      1.0     35,787,309,280        747     47,908,044.6     23,897,568.0      1,056     100,130,240     47,548,302.9  poll                  
      0.4     16,000,205,504          7  2,285,743,643.4  4,000,012,352.0      8,928   4,000,050,720  2,138,099,367.2  pthread_cond_timedwait
      0.1      2,100,291,616        419      5,012,629.2          9,312.0      1,056     116,763,456     23,599,995.4  fopen                 
      0.0      1,279,057,216         61     20,968,151.1          4,768.0      3,200     116,458,912     45,064,522.7  pipe                  
      0.0        292,342,336        946        309,030.0         10,448.0      1,024     110,417,504      3,958,524.3  ioctl                 
      0.0        190,295,840      1,488        127,887.0        139,616.0      1,664       2,121,856         71,495.5  open64                
      0.0        137,968,320        209        660,135.5         17,408.0      7,296     117,234,016      8,122,180.9  pthread_join          
      0.0        120,053,536      1,561         76,908.1         87,456.0      1,024       2,062,592         65,249.2  close                 
      0.0         51,217,984         61        839,639.1        443,648.0    175,904       2,196,288        602,670.6  posix_spawnp          
      0.0         32,765,824      4,477          7,318.7          7,360.0      1,024          91,712          6,315.3  read                  
      0.0          9,622,432      2,511          3,832.1          3,712.0      1,696          11,424            825.4  openat                
