Generating SQLite file nsys_vlp1d_1v_float32_N4096_solver0.sqlite from nsys_vlp1d_1v_float32_N4096_solver0.nsys-rep
Processing [nsys_vlp1d_1v_float32_N4096_solver0.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/nvtx_sum.py]... 
SKIPPED: nsys_vlp1d_1v_float32_N4096_solver0.sqlite does not contain NV Tools Extension (NVTX) data.

Processing [nsys_vlp1d_1v_float32_N4096_solver0.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)   Total Time (ns)   Num Calls     Avg (ns)       Med (ns)    Min (ns)     Max (ns)       StdDev (ns)             Name         
 --------  -----------------  ---------  ---------------  -----------  ---------  -------------  ---------------  ----------------------
     97.2  1,291,593,576,512      4,812    268,410,967.7     84,256.0      1,152  5,739,590,432  1,100,046,396.3  pthread_cond_wait     
      1.5     19,696,808,256      1,320     14,921,824.4      4,768.0      1,024  5,662,476,000    230,123,595.4  futex                 
      0.9     12,348,568,384        446     27,687,373.1    141,760.0      1,024    100,119,456     41,297,807.0  poll                  
      0.3      4,000,069,888          4  1,000,017,472.0     25,712.0      8,288  4,000,010,176  1,999,995,136.0  pthread_cond_timedwait
      0.0        292,577,344        943        310,262.3     11,616.0      1,024    108,455,744      3,907,939.0  ioctl                 
      0.0        263,773,952      2,101        125,546.9    140,576.0      1,696        727,520         50,637.5  open64                
      0.0        166,001,856      1,982         83,754.7     87,952.0      1,024      1,439,328         46,749.9  close                 
      0.0        142,471,168        221        644,665.9     15,680.0      7,328    123,305,920      8,298,646.0  pthread_join          
      0.0         44,450,112      4,896          9,078.9      9,440.0      1,024        249,216          7,591.2  read                  
      0.0         37,941,952         76        499,236.2      1,600.0      1,024     14,765,088      2,259,372.2  pwrite                
      0.0         12,801,120         37        345,976.2    359,168.0    180,832        485,600         64,135.0  posix_spawnp          
      0.0         11,551,840        321         35,987.0     34,880.0     12,160         86,688          9,355.3  pthread_create        
      0.0          9,392,992      2,511          3,740.7      3,616.0      1,696         13,984            824.6  openat                
      0.0          8,763,136        333         26,315.7      8,320.0      1,024        522,272         62,713.5  pthread_mutex_lock    
      0.0          5,989,376        219         27,348.7      8,448.0      1,280        250,720         47,126.4  fopen                 
      0.0          5,979,552      3,711          1,611.3      1,344.0      1,024         30,784          1,294.0  pthread_cond_signal   
      0.0          5,485,248         37        148,249.9    158,016.0     42,400        188,672         38,084.2  waitpid               
      0.0          5,057,280          1      5,057,280.0  5,057,280.0  5,057,280      5,057,280              0.0  nanosleep             
      0.0          5,011,552        140         35,796.8      3,232.0      1,280      1,203,008        147,640.6  open                  
      0.0          4,904,864      1,249          3,927.0      1,952.0      1,120        136,192          9,581.7  munmap                
      0.0          3,047,680        197         15,470.5      3,744.0      1,024        116,576         25,627.7  fclose                
      0.0          1,481,888        178          8,325.2      4,208.0      1,088         44,544          7,781.2  pthread_cond_broadcast
      0.0          1,402,816        450          3,117.4      2,464.0      1,024         15,616          2,081.2  mmap64                
      0.0          1,371,840         20         68,592.0     81,616.0      1,024        105,792         36,030.3  fcntl                 
      0.0          1,095,424         16         68,464.0     13,264.0      3,680        312,320         91,191.8  fopen64               
      0.0          1,026,144        269          3,814.7      1,888.0      1,024        298,784         18,152.5  write                 
      0.0            917,568        135          6,796.8      4,864.0      1,024         28,032          5,430.9  fread                 
      0.0            644,864         11         58,624.0     13,152.0      8,288        356,288        104,211.8  sem_timedwait         
      0.0            408,128         40         10,203.2      4,128.0      2,112         84,288         14,372.7  fgets                 
      0.0            386,880          2        193,440.0    193,440.0    191,872        195,008          2,217.5  popen                 
      0.0            336,960         72          4,680.0      2,304.0      1,568         24,960          4,998.8  fwrite                
      0.0            336,864         45          7,485.9      4,992.0      1,760         44,800          6,902.1  mmap                  
      0.0            163,424         37          4,416.9      4,128.0      3,136          8,608          1,136.5  pipe                  
      0.0            158,592          2         79,296.0     79,296.0     78,496         80,096          1,131.4  flock                 
