Generating SQLite file nsys_vlp1d_1v_float32_N4096_solver2.sqlite from nsys_vlp1d_1v_float32_N4096_solver2.nsys-rep
Processing [nsys_vlp1d_1v_float32_N4096_solver2.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/nvtx_sum.py]... 
SKIPPED: nsys_vlp1d_1v_float32_N4096_solver2.sqlite does not contain NV Tools Extension (NVTX) data.

Processing [nsys_vlp1d_1v_float32_N4096_solver2.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)   Total Time (ns)   Num Calls     Avg (ns)      Med (ns)   Min (ns)    Max (ns)       StdDev (ns)             Name         
 --------  -----------------  ---------  ---------------  ---------  --------  -------------  ---------------  ----------------------
     97.6  1,521,141,912,512     34,925     43,554,528.6  323,712.0     1,024  5,481,741,568    417,417,669.2  pthread_cond_wait     
      1.3     19,923,945,696     19,039      1,046,480.7    3,968.0     1,024  5,399,791,136     58,784,089.4  futex                 
      0.8     12,015,314,848        430     27,942,592.7  129,920.0     1,088    307,119,584     43,087,997.0  poll                  
      0.3      4,000,084,640          4  1,000,021,160.0   31,440.0    10,816  4,000,010,944  1,999,993,189.4  pthread_cond_timedwait
      0.0        514,267,552      3,328        154,527.5    9,152.0     1,024      5,221,408        546,480.9  pthread_mutex_lock    
      0.0        290,756,160        964        301,614.3   12,992.0     1,024    107,616,640      3,837,463.5  ioctl                 
      0.0        260,578,496      2,101        124,025.9  137,888.0     1,312        372,736         48,943.9  open64                
      0.0        165,535,232      2,048         80,827.8   86,880.0     1,024        664,000         36,954.0  close                 
      0.0        160,614,752      5,534         29,023.3    8,416.0     1,024      6,310,400        166,677.5  read                  
      0.0        149,466,176        303        493,287.7   14,528.0     7,072    121,701,728      7,002,763.5  pthread_join          
      0.0         76,824,256      1,116         68,838.9   64,320.0    28,608      5,058,912        149,515.4  nanosleep             
      0.0         43,054,624     28,232          1,525.0    1,312.0     1,024        110,624          1,882.2  pthread_cond_signal   
      0.0         39,239,456         77        509,603.3    1,632.0     1,024     15,669,920      2,345,800.2  pwrite                
      0.0         16,344,256        412         39,670.5   36,416.0    14,816        154,304         14,379.6  pthread_create        
