-----------------------------------------------------------
KokkosP: rocprofv3 Connector (sequence is 0, version: 20240906)
-----------------------------------------------------------

-----------------------------------------------------------
KokkosP: Finalization of rocprofv3 Connector. Complete.
-----------------------------------------------------------

    ROCPROFV3 SUMMARY:

    |                                                        NAME                                                         |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
    |---------------------------------------------------------------------------------------------------------------------|-----------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
    | KokkosFFT::create_plan[TPL_hipfft]                                                                                  | MARKER_API      |              12 |       959717001 |       7.998e+07 |     40.351842 |            3200 |       651840714 |       2.007e+08 |
    | hipStreamSynchronize                                                                                                | HIP_API         |             138 |       275628073 |       1.997e+06 |     11.588938 |             741 |         2759701 |       1.191e+06 |
    | Kokkos::HIP::fence(): Unnamed Instance Fence                                                                        | MARKER_API      |             101 |       272476344 |       2.698e+06 |     11.456422 |          578078 |         2761795 |       2.203e+05 |
    | hipModuleLoadData                                                                                                   | HIP_API         |              18 |       259224485 |       1.440e+07 |     10.899240 |          415991 |        83312108 |       3.132e+07 |
    | advect_x                                                                                                            | MARKER_API      |             400 |       237513327 |       5.938e+05 |      9.986382 |            7163 |         1184812 |       5.823e+05 |
    | hipGetDeviceCount                                                                                                   | HIP_API         |               3 |       134419577 |       4.481e+07 |      5.651747 |             361 |       134418335 |       7.761e+07 |
    | hipMemcpyToSymbol                                                                                                   | HIP_API         |               4 |        52456411 |       1.311e+07 |      2.205559 |           24837 |        43538263 |       2.071e+07 |
    | hipStreamCreate                                                                                                     | HIP_API         |               2 |        49943399 |       2.497e+07 |      2.099898 |        24795184 |        25148215 |       2.496e+05 |
    | hipMemcpyAsync                                                                                                      | HIP_API         |              28 |        39381531 |       1.406e+06 |      1.655819 |            6201 |        39003992 |       7.368e+06 |
    | advect_v                                                                                                            | MARKER_API      |             200 |        38346140 |       1.917e+05 |      1.612285 |            7584 |          374244 |       1.807e+05 |
    | compute_rho                                                                                                         | MARKER_API      |             202 |         9063615 |       4.487e+04 |      0.381085 |            8176 |          227653 |       3.474e+04 |
    | Kokkos::View::initialization [rho_k]                                                                                | MARKER_API      |               4 |         8938028 |       2.235e+06 |      0.375804 |            3360 |         8918348 |       4.456e+06 |
    | KokkosFFT::exec_plan[TPL_hipfftExecC2R]                                                                             | MARKER_API      |             606 |         6665175 |       1.100e+04 |      0.280241 |            3520 |          222102 |       1.276e+04 |
    | KokkosFFT::cleanup_plan[TPL_hipfft]                                                                                 | MARKER_API      |               2 |         4862996 |       2.431e+06 |      0.204467 |         2220307 |         2642689 |       2.987e+05 |
    | hipModuleUnload                                                                                                     | HIP_API         |              18 |         4689167 |       2.605e+05 |      0.197159 |            2134 |          542841 |       1.127e+05 |
    | hipStreamDestroy                                                                                                    | HIP_API         |               1 |         4642889 |       4.643e+06 |      0.195213 |         4642889 |         4642889 |       0.000e+00 |
    | hipLaunchKernel                                                                                                     | HIP_API         |             608 |         4580297 |       7.533e+03 |      0.192581 |            4498 |           67658 |       4.549e+03 |
    | hipModuleLaunchKernel                                                                                               | HIP_API         |             608 |         3871546 |       6.368e+03 |      0.162781 |            3998 |           55275 |       2.685e+03 |
    | KokkosFFT::exec_plan[TPL_hipfftExecR2C]                                                                             | MARKER_API      |             303 |         3720894 |       1.228e+04 |      0.156447 |            3840 |          216982 |       1.464e+04 |
    | solve_poisson                                                                                                       | MARKER_API      |             202 |         1638755 |       8.113e+03 |      0.068902 |            3840 |          211391 |       2.046e+04 |
    | delta_rho                                                                                                           | MARKER_API      |             202 |         1500376 |       7.428e+03 |      0.063084 |            3840 |          210109 |       1.458e+04 |
    | init_fn                                                                                                             | MARKER_API      |               2 |          678655 |       3.393e+05 |      0.028534 |           25048 |          653607 |       4.445e+05 |
    | hipHostMalloc                                                                                                       | HIP_API         |               2 |          488177 |       2.441e+05 |      0.020526 |           86694 |          401483 |       2.226e+05 |
    | Kokkos::View::initialization via memset                                                                             | MARKER_API      |              18 |          375042 |       2.084e+04 |      0.015769 |             531 |           89931 |       3.103e+04 |
    | hipMalloc                                                                                                           | HIP_API         |              32 |          341365 |       1.067e+04 |      0.014353 |             962 |           64212 |       1.625e+04 |
    | hipHostFree                                                                                                         | HIP_API         |               2 |          331389 |       1.657e+05 |      0.013933 |          112784 |          218605 |       7.483e+04 |
    | hipDeviceSynchronize                                                                                                | HIP_API         |              34 |          307780 |       9.052e+03 |      0.012941 |             251 |          136589 |       2.335e+04 |
    | Kokkos::deep_copy: copy between contiguous views, post deep copy fence                                              | MARKER_API      |              22 |          294190 |       1.337e+04 |      0.012369 |             461 |          139074 |       2.888e+04 |
    | hipMemcpy                                                                                                           | HIP_API         |               8 |          281743 |       3.522e+04 |      0.011846 |           22182 |           48201 |       9.695e+03 |
    | hipFree                                                                                                             | HIP_API         |              32 |          257607 |       8.050e+03 |      0.010831 |            1232 |           98607 |       1.852e+04 |
    | Kokkos::Initialization Complete                                                                                     | MARKER_API      |              28 |          230563 |       8.234e+03 |      0.009694 |               0 |          130401 |       2.398e+04 |
    | SharedAllocationRecord<Kokkos::HIPSpace, void>::SharedAllocationRecord(): fence after copying header from HostSpace | MARKER_API      |              17 |          221103 |       1.301e+04 |      0.009296 |            7364 |           30298 |       4.913e+03 |
    | hipSetDevice                                                                                                        | HIP_API         |            1366 |          217759 |       1.594e+02 |      0.009156 |              70 |           10390 |       5.933e+02 |
    | hipMemsetAsync                                                                                                      | HIP_API         |              14 |          125983 |       8.999e+03 |      0.005297 |            5761 |           15239 |       3.396e+03 |
    | Kokkos::View::initialization [fn] via memset                                                                        | MARKER_API      |               2 |           97587 |       4.879e+04 |      0.004103 |           18706 |           78881 |       4.255e+04 |
    | Kokkos::View::initialization [f] via memset                                                                         | MARKER_API      |               2 |           87159 |       4.358e+04 |      0.003665 |            9398 |           77761 |       4.834e+04 |
    | Kokkos::View::initialization [fnp1] via memset                                                                      | MARKER_API      |               2 |           84938 |       4.247e+04 |      0.003571 |            9097 |           75841 |       4.720e+04 |
    | hipGetDevice                                                                                                        | HIP_API         |             667 |           78574 |       1.178e+02 |      0.003304 |              60 |            3045 |       1.560e+02 |
    | Kokkos::deep_copy: copy between contiguous views, pre view equality check                                           | MARKER_API      |              22 |           66524 |       3.024e+03 |      0.002797 |             531 |           16361 |       3.882e+03 |
    | hipModuleGetFunction                                                                                                | HIP_API         |              18 |           62509 |       3.473e+03 |      0.002628 |            1814 |            9057 |       1.743e+03 |
    | HostSpace::impl_deallocate before free                                                                              | MARKER_API      |              16 |           57340 |       3.584e+03 |      0.002411 |             481 |           16311 |       3.959e+03 |
    | Kokkos::View::initialization [linspace] via memset                                                                  | MARKER_API      |               4 |           45379 |       1.134e+04 |      0.001908 |            1920 |           27232 |       1.209e+04 |
