-----------------------------------------------------------
KokkosP: rocprofv3 Connector (sequence is 0, version: 20240906)
-----------------------------------------------------------

-----------------------------------------------------------
KokkosP: Finalization of rocprofv3 Connector. Complete.
-----------------------------------------------------------

    ROCPROFV3 SUMMARY:

    |                                                        NAME                                                         |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
    |---------------------------------------------------------------------------------------------------------------------|-----------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
    | KokkosFFT::create_plan[TPL_hipfft]                                                                                  | MARKER_API      |              12 |       948430402 |       7.904e+07 |     33.591523 |            3200 |       637615129 |       1.973e+08 |
    | hipStreamSynchronize                                                                                                | HIP_API         |             138 |       427928503 |       3.101e+06 |     15.156379 |             641 |         4311109 |       1.862e+06 |
    | Kokkos::HIP::fence(): Unnamed Instance Fence                                                                        | MARKER_API      |             101 |       424707954 |       4.205e+06 |     15.042313 |          674100 |         4313573 |       3.601e+05 |
    | advect_x                                                                                                            | MARKER_API      |             400 |       368337002 |       9.208e+05 |     13.045766 |            7183 |         1868178 |       9.099e+05 |
    | hipModuleLoadData                                                                                                   | HIP_API         |              18 |       253614772 |       1.409e+07 |      8.982532 |          411181 |        83376051 |       3.072e+07 |
    | hipGetDeviceCount                                                                                                   | HIP_API         |               3 |       133693782 |       4.456e+07 |      4.735169 |             350 |       133692591 |       7.719e+07 |
    | hipMemcpyToSymbol                                                                                                   | HIP_API         |               4 |        52588425 |       1.315e+07 |      1.862578 |           25508 |        43519510 |       2.069e+07 |
    | advect_v                                                                                                            | MARKER_API      |             200 |        50981353 |       2.549e+05 |      1.805658 |            7604 |          507205 |       2.444e+05 |
    | hipStreamCreate                                                                                                     | HIP_API         |               2 |        45274131 |       2.264e+07 |      1.603520 |        20107531 |        25166600 |       3.577e+06 |
    | hipMemcpyAsync                                                                                                      | HIP_API         |              28 |        45248996 |       1.616e+06 |      1.602630 |            4919 |        31531980 |       6.379e+06 |
    | compute_rho                                                                                                         | MARKER_API      |             202 |        17296063 |       8.562e+04 |      0.612592 |            8686 |          285683 |       7.454e+04 |
