Generating SQLite file nsys_vlp2d_2v_float32_Nx128_Nvx128_solver1.sqlite from nsys_vlp2d_2v_float32_Nx128_Nvx128_solver1.nsys-rep
Processing [nsys_vlp2d_2v_float32_Nx128_Nvx128_solver1.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/nvtx_sum.py]... 
SKIPPED: nsys_vlp2d_2v_float32_Nx128_Nvx128_solver1.sqlite does not contain NV Tools Extension (NVTX) data.

Processing [nsys_vlp2d_2v_float32_Nx128_Nvx128_solver1.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)   Total Time (ns)   Num Calls     Avg (ns)       Med (ns)    Min (ns)     Max (ns)       StdDev (ns)             Name         
 --------  -----------------  ---------  ---------------  -----------  ---------  -------------  ---------------  ----------------------
     97.0  1,764,820,363,360     10,724    164,567,359.5    174,272.0      1,024  7,825,821,888  1,016,155,712.7  pthread_cond_wait     
      1.6     28,679,889,632      4,150      6,910,816.8      4,480.0      1,024  7,749,253,376    176,755,957.7  futex                 
      0.9     16,689,268,768        617     27,049,058.0    258,688.0      1,056    107,288,672     40,849,908.0  poll                  
      0.4      8,000,100,960          5  1,600,020,192.0     28,544.0      9,344  4,000,037,568  2,190,888,681.8  pthread_cond_timedwait
      0.0        300,585,600        992        303,009.7     12,352.0      1,024    107,806,624      3,798,971.9  ioctl                 
      0.0        277,758,208      2,101        132,202.9    137,696.0      1,696        954,240         62,767.2  open64                
      0.0        199,656,608        116      1,721,177.7      1,440.0      1,024     99,591,968     12,999,903.3  pwrite                
      0.0        162,729,344      2,052         79,302.8     86,080.0      1,024        316,128         31,566.0  close                 
      0.0        143,368,928        220        651,676.9     17,152.0      7,360    123,433,824      8,330,338.6  pthread_join          
      0.0         44,868,832      5,537          8,103.5      8,448.0      1,024        239,264          7,334.9  read                  
      0.0         21,570,720        176        122,560.9      3,168.0      1,280      9,307,136        971,894.6  open                  
      0.0         17,048,736         48        355,182.0    358,064.0    188,576        497,408         53,360.1  posix_spawnp          
      0.0         15,591,872      9,418          1,655.5      1,344.0      1,024         37,504          1,421.8  pthread_cond_signal   
      0.0         12,810,560      2,480          5,165.5      5,504.0      1,120        154,432          8,307.2  munmap                
      0.0         11,823,616        322         36,719.3     35,728.0     13,888         79,936          8,376.9  pthread_create        
      0.0          9,783,712        283         34,571.4      9,568.0      1,504        264,736         54,029.9  fopen                 
      0.0          9,532,352      2,511          3,796.2      3,648.0      1,632         13,888            852.7  openat                
      0.0          7,365,056        330         22,318.4      7,600.0      1,024        385,056         50,362.5  pthread_mutex_lock    
      0.0          7,214,848         48        150,309.3    157,024.0     44,160        183,520         28,892.7  waitpid               
      0.0          5,832,480          2      2,916,240.0  2,916,240.0    776,224      5,056,256      3,026,439.7  ftruncate             
      0.0          5,206,240        260         20,024.0      6,352.0      1,024        120,384         30,261.9  fclose                
