Generating SQLite file nsys_vlp1d_1v_float32_N4096_solver1.sqlite from nsys_vlp1d_1v_float32_N4096_solver1.nsys-rep
Processing [nsys_vlp1d_1v_float32_N4096_solver1.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/nvtx_sum.py]... 
SKIPPED: nsys_vlp1d_1v_float32_N4096_solver1.sqlite does not contain NV Tools Extension (NVTX) data.

Processing [nsys_vlp1d_1v_float32_N4096_solver1.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls     Avg (ns)         Med (ns)      Min (ns)     Max (ns)      StdDev (ns)            Name         
 --------  ---------------  ---------  ---------------  ---------------  ---------  -------------  -------------  ----------------------
     88.5  194,276,170,112         73  2,661,317,398.8  2,736,286,848.0     53,760  2,737,908,416  449,747,899.3  pthread_cond_wait     
      6.2   13,538,650,368        152     89,070,068.2    100,105,344.0      1,056    100,124,896   30,163,811.5  poll                  
      1.8    4,000,773,888         17    235,339,640.5         14,304.0      5,504  4,000,005,696  970,132,239.9  pthread_cond_timedwait
      1.7    3,674,168,864     15,320        239,828.3         11,584.0      1,024  3,379,619,552   27,305,760.7  read                  
      0.6    1,414,796,544         33     42,872,622.5     50,053,152.0  1,056,320     50,063,136   16,166,082.2  clock_nanosleep       
      0.6    1,241,100,192      8,199        151,372.1        145,728.0      1,568      2,389,824       66,824.0  open64                
      0.3      690,116,704      7,710         89,509.3         89,024.0      1,024        975,456       27,462.8  close                 
      0.1      147,694,080        925        159,669.3          8,736.0      1,024     15,773,120      731,605.3  ioctl                 
      0.0       99,273,472         56      1,772,740.6         16,912.0      2,592     97,107,904   12,971,537.7  fopen64               
      0.0       92,012,512         84      1,095,387.0          3,392.0      1,728     91,713,984   10,006,423.8  pipe2                 
      0.0       87,257,280     23,633          3,692.2          2,176.0      1,088         94,496        2,640.2  munmap                
      0.0       55,998,432         32      1,749,951.0      1,564,976.0  1,442,624      7,392,416    1,031,382.3  fork                  
      0.0       39,191,520         77        508,980.8          1,664.0      1,024     15,824,128    2,334,563.2  pwrite                
      0.0       14,690,336      6,967          2,108.6          1,504.0      1,024         73,152        1,746.2  mmap64                
      0.0       10,117,984          2      5,058,992.0      5,058,992.0  5,058,016      5,059,968        1,380.3  nanosleep             
      0.0       10,067,744          8      1,258,468.0        280,032.0     22,976      8,105,792    2,774,966.0  sem_wait              
