
    ROCPROFV3 SUMMARY:

    |                                                   NAME                                                   |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
    |----------------------------------------------------------------------------------------------------------|-----------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
    | hipMemset                                                                                                | HIP_API         |               9 |      3691523740 |       4.102e+08 |     46.032551 |           38303 |       491177079 |       1.554e+08 |
    | hipStreamCreateWithFlags                                                                                 | HIP_API         |             151 |      1870707764 |       1.239e+07 |     23.327346 |         9924277 |        27670239 |       3.972e+06 |
    | hipStreamDestroy                                                                                         | HIP_API         |             150 |       575652146 |       3.838e+06 |      7.178265 |         3551254 |         4562464 |       1.489e+05 |
    | hipModuleLoadData                                                                                        | HIP_API         |              78 |       253863341 |       3.255e+06 |      3.165624 |          391012 |        88007666 |       1.375e+07 |
    | loop_add_fusion_1                                                                                        | KERNEL_DISPATCH |             200 |       217208153 |       1.086e+06 |      2.708542 |         1075691 |         1100171 |       3.515e+03 |
    | loop_add_fusion                                                                                          | KERNEL_DISPATCH |             206 |       216763191 |       1.052e+06 |      2.702993 |            3200 |         1109931 |       1.821e+05 |
    | hipModuleLaunchKernel                                                                                    | HIP_API         |            2258 |       199825222 |       8.850e+04 |      2.491780 |            5129 |          412593 |       6.566e+04 |
    | input_transpose_fusion                                                                                   | KERNEL_DISPATCH |             200 |       177202809 |       8.860e+05 |      2.209683 |          880809 |          900169 |       2.387e+03 |
    | hipInit                                                                                                  | HIP_API         |               2 |       153134990 |       7.657e+07 |      1.909562 |             601 |       153134389 |       1.083e+08 |
    | hipGraphLaunch                                                                                           | HIP_API         |             202 |       110029805 |       5.447e+05 |      1.372049 |           37932 |         1612703 |       2.955e+05 |
    | loop_compare_fusion_1                                                                                    | KERNEL_DISPATCH |             200 |        97373725 |       4.869e+05 |      1.214231 |          473124 |          503845 |       5.985e+03 |
    | loop_transpose_fusion                                                                                    | KERNEL_DISPATCH |             200 |        83999521 |       4.200e+05 |      1.047457 |          409763 |          427684 |       3.433e+03 |
    | hipStreamCreateWithPriority                                                                              | HIP_API         |               4 |        78188019 |       1.955e+07 |      0.974989 |        19434028 |        19680305 |       1.246e+05 |
    | hipHostMalloc                                                                                            | HIP_API         |               3 |        68419147 |       2.281e+07 |      0.853173 |           81405 |        67234867 |       3.848e+07 |
    | hipMemcpyDtoDAsync                                                                                       | HIP_API         |             620 |        51017873 |       8.229e+04 |      0.636183 |            5922 |          339134 |       5.825e+04 |
    | hipLaunchKernel                                                                                          | HIP_API         |             404 |        40622055 |       1.005e+05 |      0.506549 |            5781 |        11899789 |       5.898e+05 |
    | hipMemcpyDtoHAsync                                                                                       | HIP_API         |              12 |        27265482 |       2.272e+06 |      0.339995 |           14297 |        26942918 |       7.769e+06 |
    | hipModuleUnload                                                                                          | HIP_API         |              78 |        22280322 |       2.856e+05 |      0.277831 |            1934 |         1604918 |       1.626e+05 |
    | input_reduce_fusion                                                                                      | KERNEL_DISPATCH |             202 |        12436917 |       6.157e+04 |      0.155086 |           55521 |           63521 |       8.839e+02 |
    | hipStreamCreate                                                                                          | HIP_API         |               1 |        11420649 |       1.142e+07 |      0.142413 |        11420649 |        11420649 |       0.000e+00 |
    | hipStreamQuery                                                                                           | HIP_API         |             554 |        11022093 |       1.990e+04 |      0.137443 |             331 |          282216 |       5.029e+04 |
    | hipMalloc                                                                                                | HIP_API         |              45 |        10933873 |       2.430e+05 |      0.136343 |            4869 |         2865342 |       4.791e+05 |
    | fft_rtc_back_len_2048_factors_16_16_8_wgs_256_tpt_256_halfLds_dim_1_sp_ip_CI_unitstride_sbrr_dirReg      | KERNEL_DISPATCH |             404 |         4962766 |       1.228e+04 |      0.061885 |            6080 |           18561 |       3.965e+03 |
    | hipStreamSynchronize                                                                                     | HIP_API         |             199 |         2829560 |       1.422e+04 |      0.035284 |             250 |         2274800 |       1.635e+05 |
    | fft_rtc_fwd_len_2048_factors_16_16_8_wgs_256_tpt_256_halfLds_dim_1_sp_op_CI_CI_unitstride_sbrr_dirReg    | KERNEL_DISPATCH |             202 |         2590911 |       1.283e+04 |      0.032308 |            7520 |           19520 |       3.432e+03 |
    | __amd_rocclr_copyBuffer                                                                                  | KERNEL_DISPATCH |             696 |         2532507 |       3.639e+03 |      0.031580 |            1920 |            7680 |       9.433e+02 |
    | hipLaunchHostFunc                                                                                        | HIP_API         |             144 |         2301017 |       1.598e+04 |      0.028693 |            5982 |           64603 |       1.079e+04 |
    | hipFree                                                                                                  | HIP_API         |              27 |         2240977 |       8.300e+04 |      0.027945 |            2284 |         1927941 |       3.699e+05 |
    | void rocblas_sscal_2_kernel<256, float, float, float, float*>(int, float, long, float*, long, long, int) | KERNEL_DISPATCH |             404 |         1681134 |       4.161e+03 |      0.020963 |            3840 |            4960 |       1.737e+02 |
    | c2r_even_pre_Ndiv4_dim1_sp_CI_CI                                                                         | KERNEL_DISPATCH |             404 |         1647696 |       4.078e+03 |      0.020546 |            3840 |            4640 |       1.258e+02 |
    | hipStreamIsCapturing                                                                                     | HIP_API         |             808 |         1591162 |       1.969e+03 |      0.019841 |            1002 |           22773 |       1.203e+03 |
    | hipEventRecord                                                                                           | HIP_API         |             252 |         1542991 |       6.123e+03 |      0.019241 |            1513 |           58952 |       6.244e+03 |
    | hipStreamWaitEvent                                                                                       | HIP_API         |             192 |         1206198 |       6.282e+03 |      0.015041 |             381 |           34706 |       7.369e+03 |
    | hipMemcpyHtoDAsync                                                                                       | HIP_API         |              34 |         1071604 |       3.152e+04 |      0.013363 |            4539 |           77577 |       1.755e+04 |
    | loop_multiply_fusion                                                                                     | KERNEL_DISPATCH |             215 |          963846 |       4.483e+03 |      0.012019 |            2560 |           75041 |       6.759e+03 |
    | hipMemGetInfo                                                                                            | HIP_API         |             240 |          913719 |       3.807e+03 |      0.011394 |             872 |           19417 |       2.629e+03 |
    | r2c_even_post_Ndiv4_dim1_sp_CI_CI                                                                        | KERNEL_DISPATCH |             202 |          819050 |       4.055e+03 |      0.010213 |            3840 |            4640 |       1.254e+02 |
    | loop_multiply_fusion_1                                                                                   | KERNEL_DISPATCH |             200 |          804648 |       4.023e+03 |      0.010034 |            1600 |            4640 |       2.282e+02 |
    | loop_add_fusion_3                                                                                        | KERNEL_DISPATCH |             200 |          801129 |       4.006e+03 |      0.009990 |            1920 |            4320 |       1.782e+02 |
    | loop_multiply_fusion_2                                                                                   | KERNEL_DISPATCH |             200 |          800646 |       4.003e+03 |      0.009984 |            1120 |            4320 |       2.865e+02 |
    | hipMemcpy                                                                                                | HIP_API         |              24 |          753028 |       3.138e+04 |      0.009390 |           21441 |           57048 |       1.033e+04 |
    | hipHostFree                                                                                              | HIP_API         |               2 |          636348 |       3.182e+05 |      0.007935 |          117372 |          518976 |       2.840e+05 |
    | loop_add_fusion_2                                                                                        | KERNEL_DISPATCH |             200 |          615046 |       3.075e+03 |      0.007669 |            2880 |            3360 |       8.203e+01 |
    | hipDeviceEnablePeerAccess                                                                                | HIP_API         |              56 |          579523 |       1.035e+04 |      0.007227 |             260 |          107143 |       2.523e+04 |
    | hipCtxSetCurrent                                                                                         | HIP_API         |            1884 |          563387 |       2.990e+02 |      0.007025 |              80 |           17012 |       8.716e+02 |
    | hipSetDevice                                                                                             | HIP_API         |            1336 |          390746 |       2.925e+02 |      0.004873 |              70 |           15109 |       9.183e+02 |
    | hipGraphInstantiate                                                                                      | HIP_API         |               2 |          309518 |       1.548e+05 |      0.003860 |          149814 |          159704 |       6.993e+03 |
    | __amd_rocclr_fillBufferAligned                                                                           | KERNEL_DISPATCH |               9 |          305603 |       3.396e+04 |      0.003811 |           33120 |           34720 |       4.648e+02 |
    | wrapped_transpose                                                                                        | KERNEL_DISPATCH |               2 |          291523 |       1.458e+05 |      0.003635 |          144322 |          147201 |       2.036e+03 |
    | input_transpose_fusion_1                                                                                 | KERNEL_DISPATCH |               2 |          276643 |       1.383e+05 |      0.003450 |          138242 |          138401 |       1.124e+02 |
    | hipModuleGetFunction                                                                                     | HIP_API         |             100 |          263057 |       2.631e+03 |      0.003280 |             190 |           12744 |       1.957e+03 |
    | hipGraphExecDestroy                                                                                      | HIP_API         |               2 |          260845 |       1.304e+05 |      0.003253 |          115840 |          145005 |       2.062e+04 |
    | hipDeviceGet                                                                                             | HIP_API         |              24 |          238583 |       9.941e+03 |      0.002975 |              80 |           66216 |       1.740e+04 |
    | hipGetDevice                                                                                             | HIP_API         |            1421 |          217338 |       1.529e+02 |      0.002710 |              60 |            2334 |       1.309e+02 |
    | hipEventCreateWithFlags                                                                                  | HIP_API         |             183 |          202759 |       1.108e+03 |      0.002528 |             370 |           16842 |       1.476e+03 |
    | hipEventDestroy                                                                                          | HIP_API         |             177 |          174591 |       9.864e+02 |      0.002177 |             411 |            8566 |       9.691e+02 |
    | hipDeviceSynchronize                                                                                     | HIP_API         |               8 |          172429 |       2.155e+04 |      0.002150 |            9448 |           28284 |       5.490e+03 |
    | hipDevicePrimaryCtxGetState                                                                              | HIP_API         |               8 |          124095 |       1.551e+04 |      0.001547 |            6251 |           26110 |       6.748e+03 |
    | hipGetDevicePropertiesR0600                                                                              | HIP_API         |              92 |           89016 |       9.676e+02 |      0.001110 |             150 |            7404 |       1.399e+03 |
    | hipExtGetLastError                                                                                       | HIP_API         |             404 |           69167 |       1.712e+02 |      0.000862 |             101 |            5791 |       2.832e+02 |
