
    ROCPROFV3 SUMMARY:

    |                                                   NAME                                                   |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
    |----------------------------------------------------------------------------------------------------------|-----------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
    | hipMemset                                                                                                | HIP_API         |               9 |      3690091319 |       4.100e+08 |     43.704401 |           32371 |       483663039 |       1.547e+08 |
    | hipStreamCreateWithFlags                                                                                 | HIP_API         |             151 |      1854805230 |       1.228e+07 |     21.967790 |         9926251 |        24797353 |       4.001e+06 |
    | hipStreamDestroy                                                                                         | HIP_API         |             150 |       576886970 |       3.846e+06 |      6.832487 |         3733681 |         4568597 |       1.263e+05 |
    | loop_add_fusion_1                                                                                        | KERNEL_DISPATCH |             200 |       525308520 |       2.627e+06 |      6.221606 |         2616665 |         2636185 |       3.810e+03 |
    | loop_add_fusion_2                                                                                        | KERNEL_DISPATCH |             200 |       509279105 |       2.546e+06 |      6.031758 |         2536824 |         2553785 |       2.590e+03 |
    | hipModuleLoadData                                                                                        | HIP_API         |              78 |       325510588 |       4.173e+06 |      3.855256 |          536960 |        86247173 |       1.572e+07 |
    | hipModuleLaunchKernel                                                                                    | HIP_API         |            2858 |       282279425 |       9.877e+04 |      3.343238 |            5250 |          413936 |       7.670e+04 |
    | hipInit                                                                                                  | HIP_API         |               2 |       149233400 |       7.462e+07 |      1.767478 |             841 |       149232559 |       1.055e+08 |
    | loop_add_fusion                                                                                          | KERNEL_DISPATCH |             206 |       131704930 |       6.393e+05 |      1.559876 |            2400 |          659686 |       1.104e+05 |
    | hipStreamCreateWithPriority                                                                              | HIP_API         |               4 |        80087504 |       2.002e+07 |      0.948534 |        19894582 |        20173552 |       1.244e+05 |
    | hipHostMalloc                                                                                            | HIP_API         |               3 |        69248140 |       2.308e+07 |      0.820155 |          163751 |        67984911 |       3.889e+07 |
    | hipMemcpyDtoDAsync                                                                                       | HIP_API         |             620 |        61405825 |       9.904e+04 |      0.727273 |            4859 |          356257 |       7.752e+04 |
    | hipLaunchKernel                                                                                          | HIP_API         |             404 |        41948940 |       1.038e+05 |      0.496831 |            5531 |        11805721 |       5.856e+05 |
    | hipMemcpyDtoHAsync                                                                                       | HIP_API         |              12 |        27328312 |       2.277e+06 |      0.323669 |           14348 |        27037998 |       7.798e+06 |
    | hipModuleUnload                                                                                          | HIP_API         |              78 |        21364504 |       2.739e+05 |      0.253035 |            2014 |         1416570 |       1.491e+05 |
    | hipMalloc                                                                                                | HIP_API         |              45 |        13949960 |       3.100e+05 |      0.165219 |            4018 |         2778717 |       5.179e+05 |
    | hipStreamQuery                                                                                           | HIP_API         |             554 |        13851692 |       2.500e+04 |      0.164056 |             300 |          304378 |       5.827e+04 |
    | input_reduce_fusion                                                                                      | KERNEL_DISPATCH |             202 |        12852605 |       6.363e+04 |      0.152223 |           55680 |           67040 |       1.160e+03 |
    | hipStreamCreate                                                                                          | HIP_API         |               1 |        10875934 |       1.088e+07 |      0.128811 |        10875934 |        10875934 |       0.000e+00 |
    | fft_rtc_back_len_2048_factors_16_16_8_wgs_256_tpt_256_halfLds_dim_1_sp_ip_CI_unitstride_sbrr_dirReg      | KERNEL_DISPATCH |             404 |         5993816 |       1.484e+04 |      0.070989 |            6080 |           18880 |       3.618e+03 |
    | hipMemcpy                                                                                                | HIP_API         |              24 |         3413626 |       1.422e+05 |      0.040430 |           20529 |         2692343 |       5.433e+05 |
    | fft_rtc_fwd_len_2048_factors_16_16_8_wgs_256_tpt_256_halfLds_dim_1_sp_op_CI_CI_unitstride_sbrr_dirReg    | KERNEL_DISPATCH |             202 |         3036025 |       1.503e+04 |      0.035958 |            7840 |           19680 |       2.861e+03 |
    | __amd_rocclr_copyBuffer                                                                                  | KERNEL_DISPATCH |             701 |         2916510 |       4.160e+03 |      0.034542 |            1920 |            8320 |       5.095e+02 |
    | hipStreamSynchronize                                                                                     | HIP_API         |             199 |         2792072 |       1.403e+04 |      0.033069 |             260 |         2247819 |       1.616e+05 |
    | hipFree                                                                                                  | HIP_API         |              27 |         2726427 |       1.010e+05 |      0.032291 |            2544 |         2395840 |       4.600e+05 |
    | hipGraphLaunch                                                                                           | HIP_API         |               2 |         2572746 |       1.286e+06 |      0.030471 |          942741 |         1630005 |       4.860e+05 |
    | hipLaunchHostFunc                                                                                        | HIP_API         |             144 |         2319798 |       1.611e+04 |      0.027475 |            6533 |           47971 |       9.699e+03 |
    | void rocblas_sscal_2_kernel<256, float, float, float, float*>(int, float, long, float*, long, long, int) | KERNEL_DISPATCH |             404 |         1675859 |       4.148e+03 |      0.019848 |            3840 |            5440 |       1.742e+02 |
    | c2r_even_pre_Ndiv4_dim1_sp_CI_CI                                                                         | KERNEL_DISPATCH |             404 |         1659054 |       4.107e+03 |      0.019649 |            3040 |            4640 |       1.434e+02 |
    | hipEventRecord                                                                                           | HIP_API         |             252 |         1630241 |       6.469e+03 |      0.019308 |            1383 |           57299 |       7.102e+03 |
