
    ROCPROFV3 SUMMARY:

    |                                                         NAME                                                          |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
    |-----------------------------------------------------------------------------------------------------------------------|-----------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
    | hipMemset                                                                                                             | HIP_API         |               9 |      3700564927 |       4.112e+08 |     43.378340 |           30498 |       489832693 |       1.554e+08 |
    | hipStreamCreateWithFlags                                                                                              | HIP_API         |             151 |      1884301146 |       1.248e+07 |     22.087940 |         9918114 |        26861044 |       4.101e+06 |
    | hipStreamDestroy                                                                                                      | HIP_API         |             150 |       577118502 |       3.847e+06 |      6.765033 |         3708276 |         4504228 |       1.240e+05 |
    | loop_add_fusion_2                                                                                                     | KERNEL_DISPATCH |             200 |       543821063 |       2.719e+06 |      6.374717 |         2705788 |         2732189 |       5.759e+03 |
    | loop_add_fusion                                                                                                       | KERNEL_DISPATCH |             206 |       535144971 |       2.598e+06 |      6.273015 |            2720 |         2700828 |       4.507e+05 |
    | hipModuleLoadData                                                                                                     | HIP_API         |              78 |       366031998 |       4.693e+06 |      4.290659 |          462368 |        85705942 |       1.576e+07 |
    | hipModuleLaunchKernel                                                                                                 | HIP_API         |            2858 |       283043150 |       9.904e+04 |      3.317856 |            5290 |          404228 |       7.700e+04 |
    | hipInit                                                                                                               | HIP_API         |               2 |       151098393 |       7.555e+07 |      1.771188 |             641 |       151097752 |       1.068e+08 |
    | loop_add_fusion_1                                                                                                     | KERNEL_DISPATCH |             200 |        84095280 |       4.205e+05 |      0.985772 |          411044 |          433445 |       2.001e+03 |
    | hipStreamCreateWithPriority                                                                                           | HIP_API         |               4 |        80796764 |       2.020e+07 |      0.947107 |        20063540 |        20470093 |       1.884e+05 |
    | hipHostMalloc                                                                                                         | HIP_API         |               3 |        68739747 |       2.291e+07 |      0.805773 |          190572 |        67403217 |       3.853e+07 |
    | hipMemcpyDtoDAsync                                                                                                    | HIP_API         |             620 |        60395494 |       9.741e+04 |      0.707961 |            4929 |          364793 |       7.659e+04 |
    | hipLaunchKernel                                                                                                       | HIP_API         |             404 |        41563514 |       1.029e+05 |      0.487211 |            5391 |        11842991 |       5.874e+05 |
    | hipMemcpyDtoHAsync                                                                                                    | HIP_API         |              12 |        27165444 |       2.264e+06 |      0.318436 |            6322 |        26963721 |       7.778e+06 |
    | input_reduce_fusion                                                                                                   | KERNEL_DISPATCH |             202 |        22073031 |       1.093e+05 |      0.258742 |          105761 |          112641 |       1.095e+03 |
    | hipModuleUnload                                                                                                       | HIP_API         |              78 |        21240342 |       2.723e+05 |      0.248981 |            2044 |         1478779 |       1.521e+05 |
    | hipStreamQuery                                                                                                        | HIP_API         |             554 |        13904870 |       2.510e+04 |      0.162994 |             310 |          305330 |       5.899e+04 |
    | hipStreamCreate                                                                                                       | HIP_API         |               1 |        11391354 |       1.139e+07 |      0.133530 |        11391354 |        11391354 |       0.000e+00 |
    | hipMalloc                                                                                                             | HIP_API         |              45 |        11356742 |       2.524e+05 |      0.133125 |            4348 |         2804719 |       4.706e+05 |
    | fft_rtc_back_len_2048_factors_16_16_8_wgs_256_tpt_256_halfLds_dim_1_dp_ip_CI_unitstride_sbrr_dirReg                   | KERNEL_DISPATCH |             404 |         5802944 |       1.436e+04 |      0.068023 |            8480 |           21760 |       4.095e+03 |
    | hipMemcpy                                                                                                             | HIP_API         |              24 |         3527993 |       1.470e+05 |      0.041355 |           21441 |         2786014 |       5.622e+05 |
    | hipGraphLaunch                                                                                                        | HIP_API         |               2 |         3467499 |       1.734e+06 |      0.040646 |         1190222 |         2277277 |       7.687e+05 |
    | fft_rtc_fwd_len_2048_factors_16_16_8_wgs_256_tpt_256_halfLds_dim_1_dp_op_CI_CI_unitstride_sbrr_dirReg                 | KERNEL_DISPATCH |             202 |         3284519 |       1.626e+04 |      0.038501 |           10720 |           22400 |       3.920e+03 |
    | __amd_rocclr_copyBuffer                                                                                               | KERNEL_DISPATCH |             686 |         2864513 |       4.176e+03 |      0.033578 |            3040 |           10080 |       4.685e+02 |
    | hipFree                                                                                                               | HIP_API         |              27 |         2802643 |       1.038e+05 |      0.032853 |            2956 |         2463460 |       4.730e+05 |
    | hipStreamSynchronize                                                                                                  | HIP_API         |             199 |         2338232 |       1.175e+04 |      0.027409 |             201 |         1821772 |       1.315e+05 |
    | hipLaunchHostFunc                                                                                                     | HIP_API         |             144 |         2161701 |       1.501e+04 |      0.025340 |            6041 |           65304 |       8.716e+03 |
    | void rocblas_scal_kernel<int, 256, double, double, double, double*>(int, double, long, double*, long, int, long, int) | KERNEL_DISPATCH |             404 |         1680175 |       4.159e+03 |      0.019695 |            3680 |            5280 |       2.092e+02 |
    | c2r_even_pre_Ndiv4_dim1_dp_CI_CI                                                                                      | KERNEL_DISPATCH |             404 |         1665452 |       4.122e+03 |      0.019523 |            3840 |            5920 |       1.526e+02 |
    | hipStreamIsCapturing                                                                                                  | HIP_API         |             808 |         1479521 |       1.831e+03 |      0.017343 |            1002 |           28444 |       1.429e+03 |
    | hipEventRecord                                                                                                        | HIP_API         |             252 |         1462473 |       5.803e+03 |      0.017143 |            1413 |           58721 |       6.116e+03 |
