
    ROCPROFV3 SUMMARY:

    |                   NAME                   |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
    |------------------------------------------|-----------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
    | hipMemset                                | HIP_API         |               9 |      3532454959 |       3.925e+08 |     31.228977 |           37040 |       465130527 |       1.480e+08 |
    | loop_add_fusion                          | KERNEL_DISPATCH |            1203 |      3246717501 |       2.699e+06 |     28.702890 |            2400 |         2708826 |       1.349e+05 |
    | hipStreamCreateWithFlags                 | HIP_API         |             151 |      1767669524 |       1.171e+07 |     15.627237 |         9619769 |        24186312 |       3.748e+06 |
    | __amd_rocclr_copyBuffer                  | KERNEL_DISPATCH |            1312 |      1549714659 |       1.181e+06 |     13.700388 |            2560 |         1344812 |       3.354e+05 |
    | hipStreamDestroy                         | HIP_API         |             150 |       595454241 |       3.970e+06 |      5.264165 |         3501590 |         4511568 |       2.671e+05 |
    | hipInit                                  | HIP_API         |               2 |       150806512 |       7.540e+07 |      1.333218 |             771 |       150805741 |       1.066e+08 |
    | hipModuleLaunchKernel                    | HIP_API         |            2458 |       147803807 |       6.013e+04 |      1.306672 |            3948 |          399138 |       1.705e+04 |
    | hipStreamCreateWithPriority              | HIP_API         |               4 |        79167866 |       1.979e+07 |      0.699890 |        19482158 |        20223546 |       3.122e+05 |
    | hipMemcpyDtoDAsync                       | HIP_API         |            1226 |        73615855 |       6.005e+04 |      0.650807 |            4218 |          130548 |       1.652e+04 |
    | hipHostMalloc                            | HIP_API         |               3 |        62868432 |       2.096e+07 |      0.555794 |          163150 |        61629639 |       3.523e+07 |
    | loop_multiply_fusion                     | KERNEL_DISPATCH |              13 |        13974055 |       1.075e+06 |      0.123539 |         1056970 |         1096011 |       1.184e+04 |
    | wrapped_multiply                         | KERNEL_DISPATCH |               8 |        13844772 |       1.731e+06 |      0.122396 |         1693296 |         1793137 |       3.116e+04 |
    | wrapped_cosine                           | KERNEL_DISPATCH |              12 |        12563801 |       1.047e+06 |      0.111071 |         1040490 |         1056810 |       5.204e+03 |
    | hipMalloc                                | HIP_API         |              19 |        11951249 |       6.290e+05 |      0.105656 |           52880 |         2843781 |       6.109e+05 |
    | hipModuleLoadData                        | HIP_API         |              15 |        10436311 |       6.958e+05 |      0.092263 |          380863 |         1177967 |       2.386e+05 |
    | wrapped_broadcast                        | KERNEL_DISPATCH |              12 |         7212070 |       6.010e+05 |      0.063759 |          592166 |          610566 |       6.780e+03 |
    | hipModuleUnload                          | HIP_API         |              15 |         4974478 |       3.316e+05 |      0.043977 |          267678 |          628894 |       9.600e+04 |
    | loop_add_fusion_1                        | KERNEL_DISPATCH |            1200 |         4883409 |       4.070e+03 |      0.043172 |            3840 |            4640 |       9.657e+01 |
    | hipGraphLaunch                           | HIP_API         |              12 |         4869629 |       4.058e+05 |      0.043050 |          279711 |          468339 |       6.028e+04 |
    | wrapped_subtract                         | KERNEL_DISPATCH |               2 |         3333472 |       1.667e+06 |      0.029470 |         1663536 |         1669936 |       4.525e+03 |
    | hipLaunchHostFunc                        | HIP_API         |             173 |         2483836 |       1.436e+04 |      0.021959 |            6472 |           94820 |       1.102e+04 |
