-----------------------------------------------------------
KokkosP: rocprofv3 Connector (sequence is 0, version: 20240906)
-----------------------------------------------------------

-----------------------------------------------------------
KokkosP: Finalization of rocprofv3 Connector. Complete.
-----------------------------------------------------------

    ROCPROFV3 SUMMARY:

    |                                                        NAME                                                         |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
    |---------------------------------------------------------------------------------------------------------------------|-----------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
    | hipDeviceSynchronize                                                                                                | HIP_API         |              54 |      3412153953 |       6.319e+07 |     29.039382 |             220 |      3406508535 |       4.636e+08 |
    | Kokkos::fence: Unnamed Global Fence                                                                                 | MARKER_API      |               2 |      3406516000 |       1.703e+09 |     28.991400 |            1353 |      3406514647 |       2.409e+09 |
    | advect_x                                                                                                            | MARKER_API      |              41 |      2067014205 |       5.041e+07 |     17.591473 |            9280 |       107115296 |       5.187e+07 |
    | advect_y                                                                                                            | MARKER_API      |              40 |       886225671 |       2.216e+07 |      7.542287 |           16782 |        45195645 |       2.237e+07 |
    | advect_vx                                                                                                           | MARKER_API      |              20 |       333080114 |       1.665e+07 |      2.834702 |           22342 |        33505291 |       1.701e+07 |
    | hipStreamSynchronize                                                                                                | HIP_API         |              50 |       256891553 |       5.138e+06 |      2.186294 |             992 |       244536227 |       3.456e+07 |
    | Kokkos::HIP::fence(): Unnamed Instance Fence                                                                        | MARKER_API      |               1 |       244541287 |       2.445e+08 |      2.081186 |       244541287 |       244541287 |       0.000e+00 |
    | init_fn                                                                                                             | MARKER_API      |               3 |       242004835 |       8.067e+07 |      2.059600 |            6240 |       241875942 |       1.396e+08 |
    | hipMemcpyAsync                                                                                                      | HIP_API         |              42 |       238836720 |       5.687e+06 |      2.032637 |            6072 |       223820447 |       3.455e+07 |
    | KokkosFFT::create_plan[TPL_hipfft]                                                                                  | MARKER_API      |              13 |       165363788 |       1.272e+07 |      1.407340 |            3360 |       101983598 |       3.202e+07 |
    | hipGetDeviceCount                                                                                                   | HIP_API         |               3 |       134561159 |       4.485e+07 |      1.145192 |             300 |       134559917 |       7.769e+07 |
    | advect_vy                                                                                                           | MARKER_API      |              20 |       114962865 |       5.748e+06 |      0.978400 |           20028 |        11428912 |       5.819e+06 |
    | hipMemcpyToSymbol                                                                                                   | HIP_API         |               4 |        59323837 |       1.483e+07 |      0.504880 |           25699 |        43881193 |       2.068e+07 |
    | hipStreamCreate                                                                                                     | HIP_API         |               2 |        46028071 |       2.301e+07 |      0.391725 |        22021340 |        24006731 |       1.404e+06 |
