-----------------------------------------------------------
KokkosP: rocprofv3 Connector (sequence is 0, version: 20240906)
-----------------------------------------------------------

-----------------------------------------------------------
KokkosP: Finalization of rocprofv3 Connector. Complete.
-----------------------------------------------------------

    ROCPROFV3 SUMMARY:

    |                                                        NAME                                                         |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
    |---------------------------------------------------------------------------------------------------------------------|-----------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
    | hipStreamSynchronize                                                                                                | HIP_API         |            1116 |      3260343054 |       2.921e+06 |     32.561545 |             221 |         3813424 |       3.020e+05 |
    | Kokkos::HIP::fence(): Unnamed Instance Fence                                                                        | MARKER_API      |            1103 |      3259554076 |       2.955e+06 |     32.553666 |         1756145 |         3815226 |       4.807e+04 |
    | heat3d                                                                                                              | MARKER_API      |            2200 |      3250496861 |       1.477e+06 |     32.463210 |            6463 |         2976832 |       1.469e+06 |
    | hipGetDeviceCount                                                                                                   | HIP_API         |               2 |       132189711 |       6.609e+07 |      1.320199 |             291 |       132189420 |       9.347e+07 |
    | hipMemcpyToSymbol                                                                                                   | HIP_API         |               4 |        45607587 |       1.140e+07 |      0.455490 |           20259 |        43700745 |       2.155e+07 |
    | hipStreamCreate                                                                                                     | HIP_API         |               1 |        22038870 |       2.204e+07 |      0.220106 |        22038870 |        22038870 |       0.000e+00 |
    | l2_linf_norm                                                                                                        | MARKER_API      |               3 |         8502550 |       2.834e+06 |      0.084916 |            4160 |         4278507 |       2.451e+06 |
    | init_u                                                                                                              | MARKER_API      |               6 |         8131390 |       1.355e+06 |      0.081209 |            4640 |         3108192 |       1.541e+06 |
    | hipLaunchKernel                                                                                                     | HIP_API         |            1105 |         5445812 |       4.928e+03 |      0.054388 |            4248 |           25478 |       8.727e+02 |
    | hipMemcpyAsync                                                                                                      | HIP_API         |               9 |         4318143 |       4.798e+05 |      0.043126 |            6051 |         4229634 |       1.406e+06 |
    | analytical_u                                                                                                        | MARKER_API      |               2 |         3818681 |       1.909e+06 |      0.038138 |           16561 |         3802120 |       2.677e+06 |
    | hipStreamDestroy                                                                                                    | HIP_API         |               1 |         3750113 |       3.750e+06 |      0.037453 |         3750113 |         3750113 |       0.000e+00 |
    | Kokkos::View::initialization via memset                                                                             | MARKER_API      |               8 |         2817582 |       3.522e+05 |      0.028140 |             581 |         1399699 |       6.433e+05 |
    | hipHostFree                                                                                                         | HIP_API         |               2 |         1579810 |       7.899e+05 |      0.015778 |          101623 |         1478187 |       9.734e+05 |
    | Kokkos::View::initialization [un] via memset                                                                        | MARKER_API      |               2 |         1398012 |       6.990e+05 |      0.013962 |            8877 |         1389135 |       9.760e+05 |
    | Kokkos::View::initialization [u] via memset                                                                         | MARKER_API      |               2 |         1387892 |       6.939e+05 |      0.013861 |            8997 |         1378895 |       9.687e+05 |
    | hipHostMalloc                                                                                                       | HIP_API         |               2 |          460645 |       2.303e+05 |      0.004601 |           82757 |          377888 |       2.087e+05 |
    | hipFree                                                                                                             | HIP_API         |               9 |          215518 |       2.395e+04 |      0.002152 |            1292 |          129075 |       4.519e+04 |
    | hipMalloc                                                                                                           | HIP_API         |               9 |          206674 |       2.296e+04 |      0.002064 |            1242 |           69612 |       2.998e+04 |
    | hipSetDevice                                                                                                        | HIP_API         |            1144 |          133267 |       1.165e+02 |      0.001331 |              80 |           11001 |       3.248e+02 |
    | SharedAllocationRecord<Kokkos::HIPSpace, void>::SharedAllocationRecord(): fence after copying header from HostSpace | MARKER_API      |               5 |           78590 |       1.572e+04 |      0.000785 |           12143 |           28154 |       6.961e+03 |
    | hipDeviceSynchronize                                                                                                | HIP_API         |              11 |           68473 |       6.225e+03 |      0.000684 |             221 |           26571 |       8.151e+03 |
    | Kokkos::View::initialization [linspace] via memset                                                                  | MARKER_API      |               6 |           58851 |       9.808e+03 |      0.000588 |            1760 |           31640 |       1.166e+04 |
    | hipMemsetAsync                                                                                                      | HIP_API         |               5 |           39796 |       7.959e+03 |      0.000397 |            6001 |           14557 |       3.715e+03 |
    | hipMemset                                                                                                           | HIP_API         |               2 |           38313 |       1.916e+04 |      0.000383 |            6803 |           31510 |       1.747e+04 |
    | Kokkos::deep_copy: copy between contiguous views, post deep copy fence                                              | MARKER_API      |               6 |           35176 |       5.863e+03 |      0.000351 |             420 |           11662 |       5.916e+03 |
    | Kokkos::Initialization Complete                                                                                     | MARKER_API      |               9 |           27520 |       3.058e+03 |      0.000275 |               0 |            4160 |       1.228e+03 |
    | hipGetDevicePropertiesR0600                                                                                         | HIP_API         |               9 |           17884 |       1.987e+03 |      0.000179 |             340 |           13064 |       4.176e+03 |
    | __amd_rocclr_copyBuffer                                                                                             | KERNEL_DISPATCH |               2 |           15840 |       7.920e+03 |      0.000158 |            5120 |           10720 |       3.960e+03 |
    | desul::(anonymous namespace)::init_lock_arrays_hip_kernel()                                                         | KERNEL_DISPATCH |               1 |           15040 |       1.504e+04 |      0.000150 |           15040 |           15040 |       0.000e+00 |
    | hipFuncGetAttributes                                                                                                | HIP_API         |               1 |           11011 |       1.101e+04 |      0.000110 |           11011 |           11011 |       0.000e+00 |
    | Kokkos::deep_copy: copy between contiguous views, pre view equality check                                           | MARKER_API      |               6 |           10530 |       1.755e+03 |      0.000105 |             431 |            3627 |       1.437e+03 |
    | HostSpace::impl_deallocate before free                                                                              | MARKER_API      |               6 |           10070 |       1.678e+03 |      0.000101 |             491 |            4559 |       1.545e+03 |
    | Kokkos::parallel_reduce: fence due to result being value, not view                                                  | MARKER_API      |               1 |            8115 |       8.115e+03 |      0.000081 |            8115 |            8115 |       0.000e+00 |
    | __amd_rocclr_fillBufferAligned                                                                                      | KERNEL_DISPATCH |               2 |            8000 |       4.000e+03 |      0.000080 |            2400 |            5600 |       2.263e+03 |
    | hipEventCreateWithFlags                                                                                             | HIP_API         |               1 |            7314 |       7.314e+03 |      0.000073 |            7314 |            7314 |       0.000e+00 |
    | hipStreamGetDevice                                                                                                  | HIP_API         |               1 |            6913 |       6.913e+03 |      0.000069 |            6913 |            6913 |       0.000e+00 |
    | hipEventDestroy                                                                                                     | HIP_API         |               1 |            6473 |       6.473e+03 |      0.000065 |            6473 |            6473 |       0.000e+00 |
    | Kokkos::View::initialization [linspace_mirror] via memset                                                           | MARKER_API      |               3 |            1684 |       5.613e+02 |      0.000017 |             491 |             632 |       7.050e+01 |
    | Kokkos::parallel_reduce: fence after copying values back                                                            | MARKER_API      |               1 |            1593 |       1.593e+03 |      0.000016 |            1593 |            1593 |       0.000e+00 |
    | Kokkos::Finalization Complete                                                                                       | MARKER_API      |               1 |               0 |       0.000e+00 |      0.000000 |               0 |               0 |       0.000e+00 |

