
    ROCPROFV3 SUMMARY:

    |                                                   NAME                                                   |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
    |----------------------------------------------------------------------------------------------------------|-----------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
    | hipMemset                                                                                                | HIP_API         |               9 |      3706609018 |       4.118e+08 |     43.738777 |           36619 |       494153067 |       1.559e+08 |
    | hipStreamCreateWithFlags                                                                                 | HIP_API         |             151 |      1872056588 |       1.240e+07 |     22.090667 |         9220164 |        25504706 |       4.121e+06 |
    | input_transpose_fusion_2                                                                                 | KERNEL_DISPATCH |              20 |       857548523 |       4.288e+07 |     10.119256 |        42792914 |        42956755 |       5.479e+04 |
    | hipStreamDestroy                                                                                         | HIP_API         |             150 |       592611382 |       3.951e+06 |      6.992941 |         3665101 |         4920797 |       2.083e+05 |
    | loop_add_fusion                                                                                          | KERNEL_DISPATCH |              31 |       210340373 |       6.785e+06 |      2.482061 |            2560 |        10529227 |       5.113e+06 |
    | input_transpose_fusion_3                                                                                 | KERNEL_DISPATCH |              20 |       156081741 |       7.804e+06 |      1.841798 |         7673038 |         8007441 |       7.733e+04 |
    | input_transpose_fusion                                                                                   | KERNEL_DISPATCH |              20 |       155612294 |       7.781e+06 |      1.836258 |         7671598 |         7955440 |       7.566e+04 |
    | hipInit                                                                                                  | HIP_API         |               2 |       153555888 |       7.678e+07 |      1.811992 |             612 |       153555276 |       1.086e+08 |
    | input_add_reduce_fusion                                                                                  | KERNEL_DISPATCH |              20 |       129580512 |       6.479e+06 |      1.529078 |         6472225 |         6483426 |       3.520e+03 |
    | input_transpose_fusion_1                                                                                 | KERNEL_DISPATCH |              20 |       118054791 |       5.903e+06 |      1.393072 |         5897819 |         5915100 |       4.382e+03 |
    | hipModuleLoadData                                                                                        | HIP_API         |             110 |       116336504 |       1.058e+06 |      1.372796 |          377136 |        13020102 |       1.233e+06 |
    | hipStreamCreateWithPriority                                                                              | HIP_API         |               4 |        80865925 |       2.022e+07 |      0.954235 |        19875824 |        20793587 |       3.988e+05 |
    | hipHostMalloc                                                                                            | HIP_API         |               3 |        79725468 |       2.658e+07 |      0.940778 |          130528 |        78506793 |       4.498e+07 |
    | hipMemcpy                                                                                                | HIP_API         |              32 |        72564192 |       2.268e+06 |      0.856273 |           20368 |        39188077 |       7.895e+06 |
    | hipModuleUnload                                                                                          | HIP_API         |             110 |        29260611 |       2.660e+05 |      0.345281 |            1883 |         1421340 |       1.467e+05 |
    | hipModuleLaunchKernel                                                                                    | HIP_API         |             478 |        27969278 |       5.851e+04 |      0.330043 |            5921 |          139144 |       2.863e+04 |
    | hipMemcpyDtoHAsync                                                                                       | HIP_API         |              30 |        27055922 |       9.019e+05 |      0.319266 |            1503 |        26730584 |       4.878e+06 |
    | hipLaunchKernel                                                                                          | HIP_API         |              66 |        16680490 |       2.527e+05 |      0.196833 |            5500 |        12584114 |       1.541e+06 |
    | hipMalloc                                                                                                | HIP_API         |              53 |        12831257 |       2.421e+05 |      0.151412 |            4709 |         2847028 |       4.780e+05 |
    | hipStreamCreate                                                                                          | HIP_API         |               1 |        10681389 |       1.068e+07 |      0.126043 |        10681389 |        10681389 |       0.000e+00 |
    | input_transpose_fusion_4                                                                                 | KERNEL_DISPATCH |               2 |         6660228 |       3.330e+06 |      0.078592 |         3319874 |         3340354 |       1.448e+04 |
    | hipMemcpyDtoDAsync                                                                                       | HIP_API         |             111 |         5761102 |       5.190e+04 |      0.067982 |            4438 |          111983 |       3.000e+04 |
    | input_transpose_fusion_5                                                                                 | KERNEL_DISPATCH |               2 |         5395094 |       2.698e+06 |      0.063663 |         2685467 |         2709627 |       1.708e+04 |
    | hipLaunchHostFunc                                                                                        | HIP_API         |             212 |         3717234 |       1.753e+04 |      0.043864 |            4689 |          389510 |       2.769e+04 |
    | hipStreamSynchronize                                                                                     | HIP_API         |             199 |         2746759 |       1.380e+04 |      0.032412 |             251 |         2249784 |       1.612e+05 |
    | hipFree                                                                                                  | HIP_API         |              35 |         2359259 |       6.741e+04 |      0.027840 |            2344 |         2045916 |       3.448e+05 |
    | loop_multiply_fusion                                                                                     | KERNEL_DISPATCH |              18 |         2250582 |       1.250e+05 |      0.026557 |            2240 |         1128332 |       3.547e+05 |
    | hipEventRecord                                                                                           | HIP_API         |             348 |         1921215 |       5.521e+03 |      0.022671 |            1593 |           60114 |       5.761e+03 |
    | input_reduce_fusion                                                                                      | KERNEL_DISPATCH |              22 |         1874900 |       8.522e+04 |      0.022124 |           12960 |          814088 |       2.329e+05 |
    | hipGraphLaunch                                                                                           | HIP_API         |               2 |         1754112 |       8.771e+05 |      0.020699 |          858932 |          895180 |       2.563e+04 |
    | hipStreamWaitEvent                                                                                       | HIP_API         |             260 |         1500555 |       5.771e+03 |      0.017707 |             441 |           49834 |       7.097e+03 |
    | hipMemcpyHtoDAsync                                                                                       | HIP_API         |              50 |         1482926 |       2.966e+04 |      0.017499 |            6161 |          109468 |       1.980e+04 |
    | hipMemGetInfo                                                                                            | HIP_API         |             360 |         1329853 |       3.694e+03 |      0.015693 |             901 |           12133 |       2.178e+03 |
    | hipStreamQuery                                                                                           | HIP_API         |             216 |          987775 |       4.573e+03 |      0.011656 |             301 |           61637 |       1.015e+04 |
    | __amd_rocclr_copyBuffer                                                                                  | KERNEL_DISPATCH |             216 |          873287 |       4.043e+03 |      0.010305 |            1760 |            8800 |       7.483e+02 |
    | fft_rtc_back_len_128_factors_16_8_wgs_256_tpt_16_sp_ip_CI_sbcc_dirReg                                    | KERNEL_DISPATCH |              66 |          868965 |       1.317e+04 |      0.010254 |           10560 |           15040 |       1.108e+03 |
    | hipCtxSetCurrent                                                                                         | HIP_API         |            2279 |          706411 |       3.100e+02 |      0.008336 |              80 |           23996 |       1.047e+03 |
    | hipHostFree                                                                                              | HIP_API         |               2 |          646467 |       3.232e+05 |      0.007628 |          123484 |          522983 |       2.825e+05 |
    | hipDeviceEnablePeerAccess                                                                                | HIP_API         |              56 |          542692 |       9.691e+03 |      0.006404 |             260 |           93758 |       2.330e+04 |
    | fft_rtc_back_len_64_factors_4_4_4_wgs_64_tpt_16_sp_op_CI_CI_unitstride_sbrr_C2R_dirReg                   | KERNEL_DISPATCH |              66 |          498885 |       7.559e+03 |      0.005887 |            6560 |            8800 |       5.486e+02 |
    | hipSetDevice                                                                                             | HIP_API         |             340 |          357297 |       1.051e+03 |      0.004216 |              80 |           14368 |       2.055e+03 |
    | hipModuleGetFunction                                                                                     | HIP_API         |             122 |          348609 |       2.857e+03 |      0.004114 |             270 |           12294 |       1.852e+03 |
    | hipStreamIsCapturing                                                                                     | HIP_API         |             132 |          317914 |       2.408e+03 |      0.003751 |            1142 |           31830 |       3.593e+03 |
    | __amd_rocclr_fillBufferAligned                                                                           | KERNEL_DISPATCH |               9 |          300961 |       3.344e+04 |      0.003551 |           32480 |           34720 |       6.498e+02 |
    | fft_rtc_fwd_len_128_factors_16_8_wgs_256_tpt_16_sp_ip_CI_sbcc_dirReg                                     | KERNEL_DISPATCH |              22 |          292164 |       1.328e+04 |      0.003448 |           11520 |           14560 |       1.043e+03 |
    | void rocblas_sscal_2_kernel<256, float, float, float, float*>(int, float, long, float*, long, long, int) | KERNEL_DISPATCH |              66 |          277921 |       4.211e+03 |      0.003280 |            3680 |            5121 |       2.529e+02 |
    | hipEventCreateWithFlags                                                                                  | HIP_API         |             197 |          269368 |       1.367e+03 |      0.003179 |             410 |           19677 |       1.817e+03 |
    | hipGraphInstantiate                                                                                      | HIP_API         |               1 |          191915 |       1.919e+05 |      0.002265 |          191915 |          191915 |       0.000e+00 |
    | hipEventDestroy                                                                                          | HIP_API         |             191 |          187549 |       9.819e+02 |      0.002213 |             420 |            8896 |       9.336e+02 |
    | fft_rtc_fwd_len_64_factors_4_4_4_wgs_64_tpt_16_sp_op_CI_CI_unitstride_sbrr_R2C_dirReg                    | KERNEL_DISPATCH |              22 |          174882 |       7.949e+03 |      0.002064 |            7200 |            9440 |       5.551e+02 |
    | hipDeviceSynchronize                                                                                     | HIP_API         |               8 |          165535 |       2.069e+04 |      0.001953 |            8646 |           25358 |       5.188e+03 |
    | loop_multiply_fusion_1                                                                                   | KERNEL_DISPATCH |              40 |          158400 |       3.960e+03 |      0.001869 |            1760 |            4320 |       5.004e+02 |
    | hipDeviceGet                                                                                             | HIP_API         |              24 |          143191 |       5.966e+03 |      0.001690 |              80 |           34485 |       9.720e+03 |
    | hipGetDevice                                                                                             | HIP_API         |             441 |          140595 |       3.188e+02 |      0.001659 |              60 |           20038 |       1.505e+03 |
    | hipGraphExecDestroy                                                                                      | HIP_API         |               1 |          131409 |       1.314e+05 |      0.001551 |          131409 |          131409 |       0.000e+00 |
    | hipDeviceGetAttribute                                                                                    | HIP_API         |             192 |          118037 |       6.148e+02 |      0.001393 |             180 |           49193 |       3.661e+03 |
    | hipGetDevicePropertiesR0600                                                                              | HIP_API         |             100 |           82393 |       8.239e+02 |      0.000972 |             150 |            8055 |       1.060e+03 |
    | loop_add_fusion_1                                                                                        | KERNEL_DISPATCH |              20 |           79520 |       3.976e+03 |      0.000938 |            3040 |            4160 |       2.279e+02 |
    | loop_add_fusion_2                                                                                        | KERNEL_DISPATCH |              20 |           78562 |       3.928e+03 |      0.000927 |            1760 |            4160 |       5.151e+02 |
    | loop_multiply_fusion_2                                                                                   | KERNEL_DISPATCH |              20 |           76000 |       3.800e+03 |      0.000897 |            3040 |            4000 |       1.934e+02 |
    | hipFuncGetAttribute                                                                                      | HIP_API         |             110 |           52977 |       4.816e+02 |      0.000625 |              91 |            7564 |       7.869e+02 |
    | hipDevicePrimaryCtxRetain                                                                                | HIP_API         |               8 |           50546 |       6.318e+03 |      0.000596 |             291 |           23525 |       9.287e+03 |
    | hipDeviceGetPCIBusId                                                                                     | HIP_API         |              16 |           41360 |       2.585e+03 |      0.000488 |             611 |           11582 |       2.783e+03 |
    | hipModuleGetGlobal                                                                                       | HIP_API         |              12 |           39836 |       3.320e+03 |      0.000470 |            1202 |           20259 |       5.368e+03 |
    | hipDevicePrimaryCtxGetState                                                                              | HIP_API         |               8 |           38843 |       4.855e+03 |      0.000458 |             621 |           20729 |       6.980e+03 |
    | hipGetDeviceCount                                                                                        | HIP_API         |              46 |           37482 |       8.148e+02 |      0.000442 |             260 |            4608 |       6.035e+02 |
    | twiddle_gen_radices_sp                                                                                   | KERNEL_DISPATCH |               2 |           30241 |       1.512e+04 |      0.000357 |           13120 |           17121 |       2.829e+03 |
    | hipGraphExecMemcpyNodeSetParams1D                                                                        | HIP_API         |               9 |           29532 |       3.281e+03 |      0.000348 |            1853 |           11351 |       3.038e+03 |
    | hipGraphExecKernelNodeSetParams                                                                          | HIP_API         |               3 |           27352 |       9.117e+03 |      0.000323 |            2665 |           21661 |       1.086e+04 |
    | hipGraphAddKernelNode                                                                                    | HIP_API         |               3 |           22341 |       7.447e+03 |      0.000264 |            1613 |           16220 |       7.734e+03 |
    | hipGraphAddMemcpyNode1D                                                                                  | HIP_API         |               9 |           20159 |       2.240e+03 |      0.000238 |             761 |           12124 |       3.712e+03 |
    | hipExtGetLastError                                                                                       | HIP_API         |              66 |           19400 |       2.939e+02 |      0.000229 |             160 |            5410 |       6.436e+02 |
    | hipCtxGetDevice                                                                                          | HIP_API         |             120 |           17131 |       1.428e+02 |      0.000202 |              60 |            5170 |       4.771e+02 |
    | hipDeviceTotalMem                                                                                        | HIP_API         |              16 |           16633 |       1.040e+03 |      0.000196 |              80 |            8075 |       2.165e+03 |
    | wrapped_multiply                                                                                         | KERNEL_DISPATCH |               6 |           15680 |       2.613e+03 |      0.000185 |            2240 |            3040 |       2.802e+02 |
    | wrapped_cosine                                                                                           | KERNEL_DISPATCH |               4 |           15040 |       3.760e+03 |      0.000177 |            3360 |            4000 |       2.771e+02 |
    | hipDeviceCanAccessPeer                                                                                   | HIP_API         |              56 |           14217 |       2.539e+02 |      0.000168 |              70 |            7745 |       1.021e+03 |
    | hipDeviceGetName                                                                                         | HIP_API         |              16 |           13907 |       8.692e+02 |      0.000164 |              80 |            9208 |       2.236e+03 |
